idproduccion,idfabricaciones,idordenproduccion,cantidad,1,2,3,4,5,6,7,8,standby,f_gen
33,33,1,1,0,0,0,1,0,0,0,0,0,"2018-02-01 00:00:00"
34,34,1,6,0,0,0,6,0,0,0,0,0,"2018-02-01 00:00:00"
35,35,1,0,0,0,0,8,0,0,0,0,0,"2018-02-01 00:00:00"
36,36,1,1,0,0,1,0,0,0,0,0,0,"2018-02-01 00:00:00"
37,37,1,5,0,0,5,0,0,0,0,0,0,"2018-02-01 00:00:00"
38,38,1,2,0,0,0,2,0,0,0,0,0,"2018-02-01 00:00:00"
39,39,1,1,0,0,0,1,0,0,0,0,0,"2018-02-01 00:00:00"
40,40,1,4,0,0,0,4,0,0,0,0,0,"2018-02-01 00:00:00"
41,41,1,2,0,0,0,2,0,0,0,0,0,"2018-02-01 00:00:00"
42,42,1,2,0,0,0,2,0,0,0,0,0,"2018-02-01 00:00:00"
43,43,1,1,0,0,0,1,0,0,0,0,0,"2018-02-01 00:00:00"
44,44,1,5,0,0,0,5,0,0,0,0,0,"2018-02-01 00:00:00"
45,45,1,5,0,0,0,5,0,0,0,0,0,"2018-02-01 00:00:00"
46,46,1,1,0,0,0,1,0,0,0,0,0,"2018-02-01 00:00:00"
48,48,1,2,0,0,0,0,2,0,0,0,0,"2018-02-01 00:00:00"
49,49,1,2,0,0,0,2,0,0,0,0,0,"2018-02-01 00:00:00"
50,50,1,1,0,0,0,1,0,0,0,0,0,"2018-02-01 00:00:00"
51,51,1,9,0,0,0,9,0,0,0,0,0,"2018-02-01 00:00:00"
52,52,1,10,0,0,0,10,0,0,0,0,0,"2018-02-01 00:00:00"
53,53,1,26,0,0,0,26,0,0,0,0,0,"2018-02-01 00:00:00"
54,54,1,11,0,0,0,11,0,0,0,0,0,"2018-02-01 00:00:00"
55,55,1,2,0,0,2,0,0,0,0,0,0,"2018-02-01 00:00:00"
56,56,1,2,0,0,2,0,0,0,0,0,0,"2018-02-01 00:00:00"
57,57,1,56,0,0,0,56,0,0,0,0,0,"2018-02-01 00:00:00"
58,58,1,1,0,0,1,0,0,0,0,0,0,"2018-02-01 00:00:00"
59,59,1,9,0,0,0,9,0,0,0,0,0,"2018-02-01 00:00:00"
60,60,1,2,0,0,0,2,0,0,0,0,0,"2018-02-01 00:00:00"
61,61,1,2,0,0,0,2,0,0,0,0,0,"2018-02-01 00:00:00"
3457,12813,14437,17,0,0,0,0,0,0,0,17,0,"2003-05-17 00:00:00"
3459,12906,14490,22,0,0,0,0,0,0,0,22,0,"2007-09-17 00:00:00"
3460,12833,14442,24,0,0,0,7,0,0,0,17,0,"2008-01-18 00:00:00"
3461,12832,14442,7,0,0,2,2,0,0,0,3,0,"2017-12-14 00:00:00"
3462,12922,14485,1,1,0,0,0,0,0,0,0,0,"2021-12-17 00:00:00"
3463,12812,14436,15,0,0,0,0,0,0,0,15,0,"2003-05-17 00:00:00"
3466,12859,14458,20,0,0,0,0,0,0,20,0,0,"2007-09-17 00:00:00"
3469,12820,14440,8,0,0,5,3,0,0,0,0,0,"2003-02-17 00:00:00"
3471,12927,14433,3,0,0,0,0,0,0,0,3,0,"2017-01-18 00:00:00"
3472,12841,14445,192,0,0,0,0,0,0,6,186,0,"2004-10-17 00:00:00"
3473,12844,14446,48,0,0,0,0,0,0,48,0,0,"2004-10-17 00:00:00"
3474,12845,14446,240,0,0,0,0,0,0,240,0,0,"2004-10-17 00:00:00"
3475,12872,14465,48,0,0,0,15,0,0,33,0,0,"2029-12-17 00:00:00"
3476,12876,14466,48,0,0,0,48,0,0,0,0,0,"2026-12-17 00:00:00"
3477,12879,14467,48,0,0,0,48,0,0,0,0,0,"2002-01-18 00:00:00"
3478,12903,14483,192,0,0,0,192,0,0,0,0,0,"2010-01-18 00:00:00"
3479,12842,14446,192,0,0,0,1,0,0,185,6,0,"2014-12-17 00:00:00"
3480,12843,14446,167,70,0,93,4,0,0,0,0,0,"2004-10-17 00:00:00"
3481,12873,14465,184,0,0,0,0,0,0,0,184,0,"2029-12-17 00:00:00"
3485,12896,14478,8,0,0,0,0,0,0,5,3,0,"2007-09-17 00:00:00"
3489,12881,14468,112,0,0,0,112,0,0,0,0,0,"2007-09-17 00:00:00"
3490,12837,14443,40,0,0,0,0,0,0,0,40,0,"2029-12-17 00:00:00"
3492,12840,14444,60,0,0,0,36,0,0,24,0,0,"2004-10-17 00:00:00"
3493,12880,14468,320,0,0,24,296,0,0,0,0,0,"2026-12-17 00:00:00"
3494,12835,14443,137,0,0,0,87,0,0,7,43,0,"2029-12-17 00:00:00"
3496,12839,14444,53,0,0,0,0,0,0,0,53,0,"2004-10-17 00:00:00"
3497,12874,14466,48,0,0,0,48,0,0,0,0,0,"2007-09-17 00:00:00"
3498,12877,14467,30,0,0,0,30,0,0,0,0,0,"2006-11-17 00:00:00"
3499,12819,14440,2,2,0,0,0,0,0,0,0,0,"2008-11-17 00:00:00"
3501,12825,14441,1,0,0,0,0,0,0,0,1,0,"2014-12-17 00:00:00"
3505,12824,14441,1,0,0,0,0,0,0,0,1,0,"2014-12-17 00:00:00"
3512,12827,14442,2,0,0,0,0,0,0,0,2,0,"2008-01-18 00:00:00"
3514,12808,14434,3,0,0,0,0,0,0,0,3,0,"2015-01-18 00:00:00"
3518,12807,14433,21,0,0,0,0,0,0,4,17,0,"2007-09-17 00:00:00"
3521,12846,14447,1,0,0,0,1,0,0,0,0,0,"2014-12-17 00:00:00"
3522,12893,14476,28,0,0,0,4,12,0,0,12,0,"2010-01-18 00:00:00"
3523,12891,14476,1,0,0,0,1,0,0,0,0,0,"2014-12-17 00:00:00"
3525,12817,14440,4,0,0,4,0,0,0,0,0,0,"2008-11-17 00:00:00"
3526,12864,14460,2,0,0,0,2,0,0,0,0,0,"2019-12-17 00:00:00"
3528,12848,14450,4,0,0,1,3,0,0,0,0,0,"2007-09-17 00:00:00"
3529,12816,14440,10,0,0,8,0,0,0,0,2,0,"2007-09-17 00:00:00"
3532,12823,14441,3,0,0,0,2,0,0,1,0,0,"2004-10-17 00:00:00"
3533,12853,14452,2,0,0,0,0,0,0,0,2,0,"2008-11-17 00:00:00"
3534,12857,14456,2,0,0,0,0,0,0,0,2,0,"2007-09-17 00:00:00"
3538,12871,14462,200,0,0,0,200,0,0,0,0,0,"2029-12-17 00:00:00"
3540,12870,14462,10,0,0,0,0,10,0,0,0,0,"2012-10-17 00:00:00"
3541,12866,14462,60,0,0,0,0,60,0,0,0,0,"2002-01-18 00:00:00"
3542,12869,14462,50,0,0,0,0,0,0,0,50,0,"2017-11-17 00:00:00"
3543,12868,14462,50,0,0,0,0,50,0,0,0,0,"2003-01-18 00:00:00"
3544,12924,14486,1,1,0,0,0,0,0,0,0,0,"2027-12-17 00:00:00"
3545,12814,14439,2,0,0,0,1,0,0,0,1,0,"2003-05-17 00:00:00"
3546,12809,14435,15,0,0,0,0,0,0,0,15,0,"2007-09-17 00:00:00"
3547,12815,14440,4,0,0,3,0,0,1,0,0,0,"2029-11-17 00:00:00"
3548,12855,14454,2,0,0,0,0,0,0,1,1,0,"2021-12-17 00:00:00"
3549,12885,14472,1,0,0,0,0,0,0,1,0,0,"2030-11-17 00:00:00"
3550,12886,14472,1,0,0,0,0,0,0,1,0,0,"2019-01-18 00:00:00"
3551,12822,14441,1,0,0,0,0,0,1,0,0,0,"2004-10-17 00:00:00"
3552,12858,14457,1,0,0,1,0,0,0,0,0,0,"2007-09-17 00:00:00"
3553,12889,14473,1,0,0,1,0,0,0,0,0,0,"2014-12-17 00:00:00"
3554,12904,14487,1,0,0,1,0,0,0,0,0,0,"2011-01-17 00:00:00"
3555,12905,14488,2,0,0,2,0,0,0,0,0,0,"2019-01-17 00:00:00"
3556,12907,14494,1,0,0,1,0,0,0,0,0,0,"2027-12-17 00:00:00"
3559,12923,14485,1,1,0,0,0,0,0,0,0,0,"2021-12-17 00:00:00"
3560,12847,14448,1,0,0,0,0,0,0,0,1,0,"2014-12-17 00:00:00"
3561,12921,14463,3,0,1,0,0,0,0,0,2,0,"2021-12-17 00:00:00"
3562,12806,14433,2,0,0,0,0,0,0,0,2,0,"2014-09-17 00:00:00"
3565,12862,14458,20,0,0,0,20,0,0,0,0,0,"2027-12-17 00:00:00"
3566,12909,14441,10,1,0,9,0,0,0,0,0,0,"2024-10-17 00:00:00"
3567,12910,14449,3,0,0,3,0,0,0,0,0,0,"2004-12-17 00:00:00"
3568,12911,14452,2,0,0,0,0,0,0,0,2,0,"2003-02-17 00:00:00"
3570,12913,14459,2,1,0,0,1,0,0,0,0,0,"2029-11-17 00:00:00"
3571,12914,14459,2,0,0,0,2,0,0,0,0,0,"2029-11-17 00:00:00"
3573,12916,14471,2,0,0,0,2,0,0,0,0,0,"2031-10-17 00:00:00"
3574,12917,14471,2,0,0,0,2,0,0,0,0,0,"2010-11-17 00:00:00"
3575,12919,14475,1,0,0,0,0,0,0,0,1,0,"2028-11-17 00:00:00"
3578,13373,14478,26,0,0,0,0,0,0,0,26,0,"2017-12-29 00:00:00"
3579,13374,14478,30,0,0,0,0,0,0,0,30,0,"2017-12-29 00:00:00"
3580,13375,14478,5,0,0,0,1,0,0,0,4,0,"2017-12-29 00:00:00"
3581,13376,14478,167,24,0,56,78,0,0,0,9,0,"2017-12-29 00:00:00"
3583,13378,14481,2,0,0,0,0,0,0,2,0,0,"2018-01-03 00:00:00"
3586,13381,14433,5,0,0,0,0,0,0,2,3,0,"2017-02-03 00:00:00"
3587,13382,14434,3,0,0,0,0,0,0,0,3,0,"2017-02-27 00:00:00"
3588,13383,14434,3,0,0,0,0,0,0,0,3,0,"2017-02-27 00:00:00"
3605,13400,14462,10,0,0,0,0,10,0,0,0,0,"2014-12-17 00:00:00"
3606,12808,14496,6,6,0,0,0,0,0,0,0,0,"2018-01-30 00:00:00"
3607,12812,14496,2,2,0,0,0,0,0,0,0,0,"2018-01-30 00:00:00"
3608,12927,14497,9,9,0,0,0,0,0,0,0,0,"2018-01-30 00:00:00"
3609,13383,14498,3,3,0,0,0,0,0,0,0,0,"2018-01-30 00:00:00"
3610,13401,14498,3,3,0,0,0,0,0,0,0,0,"2018-01-30 00:00:00"
3611,13382,14499,3,3,0,0,0,0,0,0,0,0,"2018-01-30 00:00:00"
3612,12811,14499,6,6,0,0,0,0,0,0,0,0,"2018-01-30 00:00:00"
3613,12823,14500,13,13,0,0,0,0,0,0,0,0,"2018-01-30 00:00:00"
3614,12824,14501,1,1,0,0,0,0,0,0,0,0,"2018-01-30 00:00:00"
3615,13383,14502,3,3,0,0,0,0,0,0,0,0,"2018-01-30 00:00:00"
3616,12825,14503,1,1,0,0,0,0,0,0,0,0,"2018-01-30 00:00:00"
