codigo,detalle
O02000057002,"PERNO MOLINO 3/4 X 80 MM G8.8, GOLILLA PRESION, GOLILLA PLANA Y TUERCA"
O06000000001,"TRANSPORTE PIEZAS MEL"
O06000099001,"FUNDICION METALES CONTRATO 3187"
P00000001001,ACOPLAMIENTO
P00000001002,"ACOPLAMIENTO ROTOR MOD. 765"
P00120099001,"FLANGE LABERINTO C-1-1321"
P00120099002,"FLANGE LABERINTO C-1-1322"
P00150071001,"RUEDA PUENTE GRUA PL D-2-88"
P00170094001,"BLOCK ALUMINA T95% 40X40X40"
P00170094002,"BLOCK ALUMINA T95% 40X40X20"
P00170095001,"CYLINDERALUMINA 92% 31X31"
P00170095002,"CYLINDERALUMINA  T95%  31X31"
P00170095003,"CYLINDERALUMINA 92% 21X21"
P00170095004,"CYLINDERALUMINA  T95%  21X21"
P02000011002,"BOTTON PLATE"
P02000063001,"PLOMO PARA MEDICION SETTING COD. 715839"
P02000063002,"PLOMO PARA MEDICION SETTING COD. 715847"
P02020899010,"JUEGO DE PLACAS DE DESGASTE SEGÚN PLANO CLS2-679-1310-03-DW R0 (PLACAS DE P01 A P206)"
P02031899001,"CLAMP 57 C/NERVIO"
P02031899002,"CLAMP 57 S/NERVIO"
P02031899003,"CLAMP 63 S/NERVIO"
P02043722001,"CORONA P&H  30054919"
P02100090001,"PLACA DE DESGASTE CG-01  (PROY 16)"
P02100090002,"PLACA DE DESGASTE CG-02  (PROY 16)"
P02100090003,"PLACA DE DESGASTE CG-03  (PROY 16)"
P02100090004,"PLACA DE DESGASTE CG-04  (PROY 16)"
P02100090005,"PLACA DE DESGASTE CG-07  (PROY 16)"
P02100090006,"PLACA DE DESGASTE CG-08  (PROY 16)"
P02100090007,"PLACA DE DESGASTE CG-09  (PROY 16)"
P02100090008,"PLACA DE DESGASTE CG-11  (PROY 16)"
P02100090009,"PLACA DE DESGASTE CG-12  (PROY 16)"
P02100090010,"PLACA DE DESGASTE CG-13  (PROY 16)"
P02100090011,"PLACA DE DESGASTE CG-14  (PROY 16)"
P02100090012,"PLACA DE DESGASTE CG-15  (PROY 16)"
P02100090013,"PLACA DE DESGASTE CG-16  (PROY 16)"
P02100090014,"PLACA DE DESGASTE CG-17  (PROY 16)"
P02100090015,"PLACA DE DESGASTE CG-18  (PROY 16)"
P02100090016,"PLACA DE DESGASTE CG-19  (PROY 16)"
P02100090017,"PLACA DE DESGASTE CG-20  (PROY 16)"
P02100090018,"PLACA DE DESGASTE CG-21  (PROY 16)"
P02100090019,"PLACA DE DESGASTE CG-22  (PROY 16)"
P02100090020,"PLACA DE DESGASTE CG-23  (PROY 16)"
P02100090021,"PLACA DE DESGASTE CG-24  (PROY 16)"
P02100090022,"PLACA DE DESGASTE CG-25  (PROY 16)"
P02100090023,"PLACA DE DESGASTE CG-26  (PROY 16)"
P02100090024,"PLACA DE DESGASTE CG-27  (PROY 16)"
P02100090025,"PLACA DE DESGASTE CG-28  (PROY 16)"
P02100090026,"PLACA DE DESGASTE CG-29  (PROY 16)"
P02100090027,"PLACA DE DESGASTE CG-30  (PROY 16)"
P02100090028,"PLACA DE DESGASTE CG-31  (PROY 16)"
P02100090029,"PLACA DE DESGASTE CG-32  (PROY 16)"
P02100090030,"PLACA DE DESGASTE CG-33  (PROY 16)"
P02100090031,"PLACA DE DESGASTE CG-34  (PROY 16)"
P02100090032,"PLACA DE DESGASTE CG-35  (PROY 16)"
P02100090033,"PLACA DE DESGASTE CG-36  (PROY 16)"
P02100090034,"PLACA DE DESGASTE CG-37  (PROY 16)"
P02100090035,"PLACA DE DESGASTE CG-38  (PROY 16)"
P02100090036,"PLACA DE DESGASTE CG-39  (PROY 16)"
P02100090037,"PLACA DE DESGASTE CG-40  (PROY 16)"
P02100090038,"PLACA DE DESGASTE CG-41  (PROY 16)"
P02100090039,"PLACA DE DESGASTE CG-42  (PROY 16)"
P02100090040,"PLACA DE DESGASTE CG-43  (PROY 16)"
P02100090041,"PLACA DE DESGASTE CG-44  (PROY 16)"
P02100090042,"PLACA DE DESGASTE CG-45  (PROY 16)"
P02100090043,"PLACA DE DESGASTE CG-46  (PROY 16)"
P02100090044,"PLACA DE DESGASTE CG-89  (PROY 16)"
P02100090045,"PLACA DE DESGASTE CG-90  (PROY 16)"
P02100090046,"PLACA DE DESGASTE CG-91  (PROY 16)"
P02100090047,"PLACA DE DESGASTE CG-92  (PROY 16)"
P02100090048,"PLACA DE DESGASTE CG-93  (PROY 16)"
P02100090049,"PLACA DE DESGASTE CG-94  (PROY 16)"
P02100090050,"PLACA DE DESGASTE CG-95  (PROY 16)"
P02100090051,"PLACA DE DESGASTE CG-96  (PROY 16)"
P02100090052,"PLACA DE DESGASTE CG-01 MO (PROY 16)"
P02100090053,"PLACA DE DESGASTE CG-01 OP (PROY 16)"
P02100090054,"PLACA DE DESGASTE CG-02 MO (PROY 16)"
P02100090055,"PLACA DE DESGASTE CG-02 OP (PROY 16)"
P02100090056,"PLACA DE DESGASTE CG-03 MO (PROY 16)"
P02100090057,"PLACA DE DESGASTE CG-03 OP (PROY 16)"
P02100090058,"PLACA DE DESGASTE CG-04 MO (PROY 16)"
P02100090059,"PLACA DE DESGASTE CG-04 OP (PROY 16)"
P02100090060,"PLACA DE DESGASTE CG-05 MO (PROY 16)"
P02100090061,"PLACA DE DESGASTE CG-05 OP (PROY 16)"
P02100090062,"PLACA DE DESGASTE CG-06 MO (PROY 16)"
P02100090063,"PLACA DE DESGASTE CG-06 OP (PROY 16)"
P02100090064,"PLACA DE DESGASTE CG-07 MO (PROY 16)"
P02100090065,"PLACA DE DESGASTE CG-07 OP (PROY 16)"
P02100090066,"PLACA DE DESGASTE CG-08 MO (PROY 16)"
P02100090067,"PLACA DE DESGASTE CG-08 OP (PROY 16)"
P02100090068,"PLACA DE DESGASTE CG-09 MO (PROY 16)"
P02100090069,"PLACA DE DESGASTE CG-09 OP (PROY 16)"
P02100090070,"PLACA DE DESGASTE CG-10 MO (PROY 16)"
P02100090071,"PLACA DE DESGASTE CG-10 OP (PROY 16)"
P02100090072,"PLACA DE DESGASTE CG-11 MO (PROY 16)"
P02100090073,"PLACA DE DESGASTE CG-11 OP (PROY 16)"
P02100090074,"PLACA DE DESGASTE CG-12 MO (PROY 16)"
P02100090075,"PLACA DE DESGASTE CG-12 OP (PROY 16)"
P02100090076,"PLACA DE DESGASTE CG-13 MO (PROY 16)"
P02100090077,"PLACA DE DESGASTE CG-13 OP (PROY 16)"
P02100090078,"PLACA DE DESGASTE CG-14 MO (PROY 16)"
P02100090079,"PLACA DE DESGASTE CG-14 OP (PROY 16)"
P02100090080,"PLACA DE DESGASTE CG-15 MO (PROY 16)"
P02100090081,"PLACA DE DESGASTE CG-15 OP (PROY 16)"
P02100090082,"PLACA DE DESGASTE CG-16 MO (PROY 16)"
P02100090083,"PLACA DE DESGASTE CG-16 OP (PROY 16)"
P02100090084,"PLACA DE DESGASTE CG-17 MO (PROY 16)"
P02100090085,"PLACA DE DESGASTE CG-17 OP (PROY 16)"
P02100090086,"PLACA DE DESGASTE CG-18 MO (PROY 16)"
P02100090087,"PLACA DE DESGASTE CG-18 OP (PROY 16)"
P02100090088,"PLACA DE DESGASTE CG-19 MO (PROY 16)"
P02100090089,"PLACA DE DESGASTE CG-19 OP (PROY 16)"
P02100090090,"PLACA DE DESGASTE CG-20 MO (PROY 16)"
P02100090091,"PLACA DE DESGASTE CG-20 OP (PROY 16)"
P02100090092,"PLACA DE DESGASTE CG-21 MO (PROY 16)"
P02100090093,"PLACA DE DESGASTE CG-21 OP (PROY 16)"
P02100090094,"PLACA DE DESGASTE CG-22 MO (PROY 16)"
P02100090095,"PLACA DE DESGASTE CG-22 OP (PROY 16)"
P02100090096,"PLACA DE DESGASTE CG-23 MO (PROY 16)"
P02100090097,"PLACA DE DESGASTE CG-23 OP (PROY 16)"
P02100090098,"PLACA DE DESGASTE CG-24 MO (PROY 16)"
P02100090099,"PLACA DE DESGASTE CG-24 OP (PROY 16)"
P02100090100,"PLACA DE DESGASTE CG-25 MO (PROY 16)"
P02100090101,"PLACA DE DESGASTE CG-25 OP (PROY 16)"
P02100090102,"PLACA DE DESGASTE CG-26 MO (PROY 16)"
P02100090103,"PLACA DE DESGASTE CG-26 OP (PROY 16)"
P02100090104,"PLACA DE DESGASTE CG-27 MO (PROY 16)"
P02100090105,"PLACA DE DESGASTE CG-27 OP (PROY 16)"
P02100090106,"PLACA DE DESGASTE CG-28 MO (PROY 16)"
P02100090107,"PLACA DE DESGASTE CG-28 OP (PROY 16)"
P02100090108,"PLACA DE DESGASTE CG-29 MO (PROY 16)"
P02100090109,"PLACA DE DESGASTE CG-29 OP (PROY 16)"
P02100090110,"PLACA DE DESGASTE CG-30 MO (PROY 16)"
P02100090111,"PLACA DE DESGASTE CG-30 OP (PROY 16)"
P02100090112,"PLACA DE DESGASTE CG-31 MO (PROY 16)"
P02100090113,"PLACA DE DESGASTE CG-31 OP (PROY 16)"
P02100090114,"PLACA DE DESGASTE CG-32 MO (PROY 16)"
P02100090115,"PLACA DE DESGASTE CG-32 OP (PROY 16)"
P02100090116,"PLACA DE DESGASTE CG-33 MO (PROY 16)"
P02100090117,"PLACA DE DESGASTE CG-33 OP (PROY 16)"
P02100090118,"PLACA DE DESGASTE CG-34 MO (PROY 16)"
P02100090119,"PLACA DE DESGASTE CG-34 OP (PROY 16)"
P02100090120,"PLACA DE DESGASTE CG-35 MO (PROY 16)"
P02100090121,"PLACA DE DESGASTE CG-35 OP (PROY 16)"
P02100090122,"PLACA DE DESGASTE CG-36 MO (PROY 16)"
P02100090123,"PLACA DE DESGASTE CG-36 OP (PROY 16)"
P02100090124,"PLACA DE DESGASTE CG-37 MO (PROY 16)"
P02100090125,"PLACA DE DESGASTE CG-37 OP (PROY 16)"
P02100090126,"PLACA DE DESGASTE CG-38  (PROY 16)"
P02100090127,"PLACA DE DESGASTE CG-39 MO (PROY 16)"
P02100090128,"PLACA DE DESGASTE CG-39 OP (PROY 16)"
P02100090129,"PLACA DE DESGASTE CG-40 MO (PROY 16)"
P02100090130,"PLACA DE DESGASTE CG-40 OP (PROY 16)"
P02100090131,"PLACA DE DESGASTE CG-41  (PROY 16)"
P02100090132,"PLACA DESGASTE CG-01 MO (PROY 22)"
P02100090133,"PLACA DESGASTE CG-01 OP (PROY 22)"
P02100090134,"PLACA DESGASTE CG-02 MO (PROY 22)"
P02100090135,"PLACA DESGASTE CG-02 OP (PROY 22)"
P02100090136,"PLACA DESGASTE CG-03 MO (PROY 22)"
P02100090137,"PLACA DESGASTE CG-03 OP (PROY 22)"
P02100090138,"PLACA DESGASTE CG-04 MO (PROY 22)"
P02100090139,"PLACA DESGASTE CG-04 OP (PROY 22)"
P02100090140,"PLACA DESGASTE CG-05 MO (PROY 22)"
P02100090141,"PLACA DESGASTE CG-05 OP (PROY 22)"
P02100090142,"PLACA DESGASTE CG-06 MO (PROY 22)"
P02100090143,"PLACA DESGASTE CG-06 OP (PROY 22)"
P02100090144,"PLACA DESGASTE CG-07 MO (PROY 22)"
P02100090145,"PLACA DESGASTE CG-07 OP (PROY 22)"
P02100090146,"PLACA DESGASTE CG-08  (PROY 22)"
P02100090147,"PLACA DESGASTE CG-09  (PROY 22)"
P02100090148,"PLACA DESGASTE CG-10  (PROY 22)"
P02100090149,"PLACA DESGASTE CG-11  (PROY 22)"
P02100090150,"PLACA DESGASTE CG-12  (PROY 22)"
P02100090151,"PLACA DESGASTE CG-13  (PROY 22)"
P02100090152,"PLACA DESGASTE CG-14  (PROY 22)"
P02100090153,"PLACA DESGASTE CG-15  (PROY 22)"
P02100090154,"PLACA DESGASTE CG-16  (PROY 22)"
