"idmaterial","u_medida","f_aprov","leadtime","precio","abc","tipo","especificacion","idproducto","estado","detalle","caracteristica","stock","codigo"
78,"","",0,0,"","I",4,103,"fin","ZUNCHO METALICO 3/4""",99,0,"I040000990161"
79,"","",0,0,"","I",4,104,"fin","MONTANTE 150X195",99,0,"I04000099017"
80,"","",0,0,"","I",4,105,"fin","ATRAPAESCORIA ",99,0,"I04000099018"
81,"","",0,0,"","I",4,106,"fin","BOCINA COLADA 2 ",99,0,"I04000099019"
82,"","",0,0,"","I",4,107,"fin","BOQUILLA CORTE PROPANO 3""",99,0,"I04000099020"
83,"","",0,0,"","I",4,108,"fin","BOQUILLA CORTE PROPANO 4""",99,0,"I04000099021"
84,"","",0,0,"","I",4,109,"fin","BOQUILLA CORTE PROPANO 5""",99,0,"I04000099022"
85,"","",0,0,"","I",4,110,"fin","BOTELLON AGUA MANANTIAL ",99,0,"I04000099023"
86,"","",0,0,"","I",4,111,"fin","BROCHA 3"" ",99,0,"I04000099024"
87,"","",0,0,"","I",4,112,"fin","BROCHA 4"" ",99,0,"I04000099025"
88,"","",0,0,"","I",4,113,"fin","CANAL CA 60X20 F",99,0,"I04000099026"
89,"","",0,0,"","I",4,114,"fin","CANAL CA 60X30 ",99,0,"I04000099027"
90,"","",0,0,"","I",4,115,"fin","CANAL CA 60X50 F",99,0,"I04000099028"
91,"","",0,0,"","I",4,116,"fin","CANAL CA 80X30 F",99,0,"I04000099029"
92,"","",0,0,"","I",4,117,"fin","CANAL CD 50X150 ",99,0,"I04000099030"
93,"","",0,0,"","I",4,118,"fin","CANAL CD 50X25 ",99,0,"I04000099031"
94,"","",0,0,"","I",4,119,"fin","CANAL CD 60X150 ",99,0,"I04000099032"
95,"","",0,0,"","I",4,120,"fin","CANAL CD 60X500",99,0,"I04000099033"
96,"","",0,0,"","I",4,121,"fin","CANAL CD 80X150 ",99,0,"I04000099034"
97,"","",0,0,"","I",4,122,"fin","CANAL CD 80X25 ",99,0,"I04000099035"
98,"","",0,0,"","I",4,123,"fin","CANAL CD 80X300 ",99,0,"I04000099036"
99,"","",0,0,"","I",4,124,"fin","CANAL CZR 80X60",99,0,"I04000099037"
100,"","",0,0,"","I",4,125,"fin","CARBON TORCH 3/8""",99,0,"I04000099038"
101,"","",0,0,"","I",4,126,"fin","CARBON TORCH 5/16""",99,0,"I04000099039"
102,"","",0,0,"","I",4,127,"fin","CEMENTO REFRACTARIO",99,0,"I04000099040"
103,"","",0,0,"","I",4,128,"fin","CLAVO 3"" ",99,0,"I04000099041"
104,"","",0,0,"","I",4,129,"fin","CLAVO 4""",99,0,"I04000099042"
105,"","",0,0,"","I",4,130,"fin","CODO C 80X80 ",99,0,"I04000099043"
106,"","",0,0,"","I",4,131,"fin","CONO RECTIFICADOR ESMERIL",99,0,"I04000099044"
107,"","",0,0,"","I",4,132,"fin","CURVA CS 60X30 ",99,0,"I04000099045"
108,"","",0,0,"","I",4,133,"fin","CURVA CS 80X15 ",99,0,"I04000099046"
109,"","",0,0,"","I",4,134,"fin","DESMOLDANTE",99,0,"I04000099047"
110,"","",0,0,"","I",4,135,"fin","DILUYENTE SINTETICO ",99,0,"I04000099048"
111,"","",0,0,"","I",4,136,"fin","DISCO CORTE 7"" ESTRUCTURAL",99,0,"I04000099049"
112,"","",0,0,"","I",4,137,"fin","DISCO CORTE 7"" FUNDICIÓN",99,0,"I04000099050"
113,"","",0,0,"","I",4,138,"fin","DISCO CORTE 9"" ESTRUCTURAL",99,0,"I04000099051"
114,"","",0,0,"","I",4,139,"fin","DISCO CORTE 9"" FUNDICIÓN",99,0,"I04000099052"
115,"","",0,0,"","I",4,140,"fin","DISCO DESBASTE 4 1/2"" FUNDICIÓN",99,0,"I04000099053"
116,"","",0,0,"","I",4,141,"fin","DISCO DESBASTE 7"" FUNDICIÓN",99,0,"I04000099054"
117,"","",0,0,"","I",4,142,"fin","DISCO DESBASTE 9"" FUNDICIÓN",99,0,"I04000099055"
118,"","",0,0,"","I",4,143,"fin","DISCO TROZADOR 350X3,2X25,4",99,0,"I04000099056"
119,"","",0,0,"","I",4,144,"fin","DISTRIBUIDOR 100X60 ",99,0,"I04000099057"
120,"","",0,0,"","I",4,145,"fin","DISTRIBUIDOR 80X60 ",99,0,"I04000099058"
121,"","",0,0,"","I",4,146,"fin","ESCOBAS MUNICIPALES ",99,0,"I04000099059"
122,"","",0,0,"","I",4,147,"fin","FILM  PALETIZADOR NEGRO",99,0,"I04000099060"
123,"","",0,0,"","I",4,148,"fin","FILM  PALETIZADOR TRANSPARENTE",99,0,"I04000099061"
124,"","",0,0,"","I",4,149,"fin","FILTRO PARA MANGAS",99,0,"I04000099062"
