Codigo,Descripcion,Stock
P01043948001,"LLANTA 1,25 DIAM INT X 6 PISTAS X 3 ESP MN",0
P01043948002,"LLANTA 1,5 DIAM INT X 6 PISTAS X 3 ESP",2
P01043948002,"LLANTA 1,5 DIAM INT X 6 PISTAS X 3 ESP",0
P01020850002,LOWER FLAT LINNER 99911,0
P01020850001,LOWER POCKET LINNER 99912,0
M01020860042,MODELO PLACA DE DESGASTE B10001,0
P01043400001,MUÑON MARCY,0
P01043400001,MUÑON MARCY,0
P01043400001,MUÑON MARCY,0
P01020791001,OUTER CAP 99916,0
P01020791001,OUTER CAP 99916,0
O00000057002,PERNO FORRO ,0
O00000057002,PERNO FORRO ,0
O00000057002,PERNO FORRO ,0
O00000057003,PERNO LABIO,0
O00000057003,PERNO LABIO,0
O00000057010,PERNO MOLINO 3/4 X 100,0
O02000057003,PERNO MOLINO 3/4 X 82,0
O00000057004,PERNO PLACA,0
O00000057004,PERNO PLACA,0
O00000057006,PERNO ROTOR 1145,0
O00000057008,PERNO ROTOR 765,0
P02020899011,PIN CPN 12056,0
P01043659001,PIÑON 13 DIENTES,0
P01020860042,PLACA DE DESGASTE B10001,0
S01020790001,Placa Desgaste Barra para Calugon PL-19-01 (Proy 220),0
S01020790001,Placa Desgaste Barra para Calugon PL-19-01 (Proy 220),0
S01020790001,Placa Desgaste Barra para Calugon PL-19-01 (Proy 220),0
S01020790002,Placa Desgaste Barra para Calugon PL-19-02 (Proy 220),0
S01020790003,Placa Desgaste Barra para Calugon PL-19-03 (Proy 220),0
S01020790003,Placa Desgaste Barra para Calugon PL-19-03 (Proy 220),0
S01020790003,Placa Desgaste Barra para Calugon PL-19-03 (Proy 220),0
S01020790004,Placa Desgaste Barra para Calugon PL-19-04 (Proy 220),0
S01020790004,Placa Desgaste Barra para Calugon PL-19-04 (Proy 220),0
S01020790004,Placa Desgaste Barra para Calugon PL-19-04 (Proy 220),0
S01020790005,Placa Desgaste Barra para Calugon PL-19-05 (Proy 220),0
S01020790005,Placa Desgaste Barra para Calugon PL-19-05 (Proy 220),0
S01020790006,Placa Desgaste Barra para Calugon PL-19-06 (Proy 220),0
S01020790006,Placa Desgaste Barra para Calugon PL-19-06 (Proy 220),0
P01020899014,PLACA DESGASTE CV011 R1 (PROY 731) P/STUD,0
P01020761046,PLACA DESGASTE P25 (PROY LOS COLORADOS),12
P01020860017,PLACA DESGASTE P64 (PROY LOS COLORADOS),0
P01020860018,PLACA DESGASTE P65 (PROY LOS COLORADOS),0
P01010160001,PLACA PRI 1145,0
P01010160001,PLACA PRI 1145,0
P01010160001,PLACA PRI 1145,0
P01010160013,PLACA PRI 765,0
P01010160013,PLACA PRI 765,0
P01020760007,PLACA PROTECCION N° 9003,0
P01010160005,PLACA PRS 1145,2
P01010160005,PLACA PRS 1145,0
P01010160005,PLACA PRS 1145,0
P01010160007,PLACA PRS 765,0
P01010160007,PLACA PRS 765,0
P01010160007,PLACA PRS 765,0
P01010160007,PLACA PRS 765,0
P01010160007,PLACA PRS 765,0
P01010160007,PLACA PRS 765,0
P01020761072,PLANCHA DESGASTE P2 (PROY LOS COLORADOS),0
P01020761046,PLANCHA DESGASTE P25 (PROY LOS COLORADOS),0
P01020761072,PLANCHA DESGASTE P46 (PROY LOS COLORADOS),0
P01020761598,PLANCHA DESGASTE P77 (PROY LOS COLORADOS),0
