idmaterial,u_medida,f_aprov,leadtime,precio,abc,tipo,especificacion,idproducto,estado,detalle,caracteristica
438,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG023",61
439,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG024",61
440,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG025",61
441,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG026",61
442,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG027",61
443,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG028",61
444,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG029",61
445,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG030",61
446,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG031",61
447,NULL,NULL,NULL,NULL,NULL,P,1,NULL,fin,"PLANCHA DESGASTE P1DG032",61
